TRACK_ID,POSITION_X,POSITION_Y,POSITION_T
5,766.79,350.155,0
5,766.79,350.155,1
5,766.865,349.954,2
5,767.155,348.98,3
5,767.022,348.72,4
5,766.991,348.799,5
5,766.903,347.676,6
5,766.987,347.077,7
5,766.818,346.525,8
5,766.613,346.482,9
5,767.164,345.871,10
5,768.477,345.232,11
5,769.007,346.159,12
5,769.05,345.314,13
5,768.967,344.661,14
5,768.259,344.82,15
5,768.899,344.622,16
5,769.509,343.866,17
5,768.949,343.99,18
5,769.215,344.314,19
5,769.451,344.25,20
5,768.793,344.894,21
5,768.23,345.08,22
5,767.675,345.036,23
5,767.605,344.943,24
5,767.325,342.774,25
5,766.375,343.547,26
5,767.072,342.34,27
5,767.166,342.218,28
5,766.952,342.394,29
5,766.526,342.5,30
5,766.683,341.893,31
5,766.175,341.198,32
5,766.091,341.235,33
5,765.995,340.872,34
5,766.26,340.353,35
5,766.444,340.125,36
5,769.015,338.966,37
5,770.193,338.274,38
5,770.639,339.21,39
5,770.815,338.172,40
5,770.701,338.172,41
5,770.414,338.323,42
5,770.186,338.134,43
5,771.178,337.186,44
5,772.021,337.402,45
5,771.798,337.774,46
5,771.607,337.961,47
5,772.637,337.454,48
5,773.232,337.976,49
5,773.697,338.244,50
5,773.357,337.54,51
5,773.161,337.458,52
5,773.992,336.457,53
5,773.984,336.09,54
5,772.172,335.413,55
5,770.687,335.613,56
5,769.289,335.554,57
5,768.17,336.251,58
5,768.518,336.416,59
5,769.129,336.473,60
5,770.384,336.749,61
5,769.956,336.253,62
5,770.034,335.899,63
5,770.837,336.215,64
5,771.012,336.232,65
5,770.662,336.366,66
5,770.32,335.736,67
5,770.034,335.996,68
5,770.133,335.55,69
5,770.216,334.326,70
5,769.119,333.748,71
5,768.362,332.898,72
5,770.076,333.644,73
5,770.406,334.366,74
5,770.507,334.506,75
5,771.146,335.313,76
5,770.973,336.017,77
5,771.214,336.646,78
5,771.452,336.136,79
5,771.21,335.812,80
5,771.268,336.216,81
5,771.247,335.497,82
5,772.246,334.993,83
5,772.82,334.419,84
5,772.246,334.185,85
5,771.515,335.211,86
5,772.12,335.549,87
5,772.255,335.145,88
5,772.303,335.65,89
5,773.069,335.428,90
5,773.336,334.662,91
5,774.4,334.585,92
5,775,335.334,93
5,775.365,335.931,94
5,775.1,336.383,95
5,775.635,336.222,96
5,776.054,335.802,97
5,777.021,335.788,98
5,777.903,336.302,99
5,778.413,336.573,100
5,779.367,336.696,101
5,779.231,336.088,102
5,778.648,336.127,103
5,777.941,335.572,104
5,777.416,335.857,105
5,778.02,335.358,106
5,777.918,335.48,107
5,777.997,335.205,108
5,778.062,335.382,109
5,778.379,335.308,110
5,777.614,335.918,111
5,778.36,336.008,112
5,778.481,334.895,113
5,778.766,334.663,114
5,779.472,333.48,115
5,779.297,335.467,116
5,779.911,334.817,117
5,781.454,334.695,118
5,781.581,334.071,119
5,782.493,333.728,120
5,783.228,333.789,121
5,784.06,333.944,122
5,784.712,333.414,123
5,785.478,333.487,124
5,785.572,333.633,125
5,785.756,333.99,126
5,785.782,334.651,127
5,786.749,335.87,128
5,788.149,336.999,129
5,789.135,337.231,130
17,211.028,345.428,0
17,211.028,345.428,1
17,211.158,345.374,2
17,211.43,344.895,3
17,211.436,344.892,4
17,210.363,344.841,5
17,210.673,345.111,6
17,211.225,344.669,7
17,211.139,344.481,8
17,210.66,344.397,9
17,211.135,344.637,10
17,211.667,344.545,11
17,212.23,344.722,12
17,212.029,344.515,13
17,211.138,344.179,14
17,211.081,344.46,15
17,211.576,344.708,16
17,211.242,344.589,17
17,211.248,344.702,18
17,211.888,344.562,19
17,211.941,344.544,20
17,211.147,344.767,21
17,210.444,344.668,22
17,210.311,344.634,23
17,210.108,343.712,24
17,209.493,342.457,25
17,209.084,342.884,26
17,209.528,342.121,27
17,209.049,342.561,28
17,208.508,342.479,29
17,209.001,342.246,30
17,209.691,341.412,31
17,209.52,340.825,32
17,209.545,340.95,33
17,209.737,341.321,34
17,209.993,341.379,35
17,210.44,341.388,36
17,213.602,340.658,37
17,214.302,340.046,38
17,215.077,340.099,39
17,214.471,340.052,40
17,214.507,340.301,41
17,215.089,340.797,42
17,215.12,340.382,43
17,215.803,340.842,44
17,215.786,340.766,45
17,215.377,340.736,46
17,216.149,340.828,47
17,217.421,340.898,48
17,217.576,341.369,49
17,218.469,341.202,50
17,218.413,340.921,51
17,218.047,341.229,52
17,218.888,340.649,53
17,218.55,340.635,54
17,217.342,340.185,55
17,216.137,340.525,56
17,215.13,340.571,57
17,214.849,341.266,58
17,215.265,340.71,59
17,216.522,340.384,60
17,217.263,340.627,61
17,216.819,340.083,62
17,216.515,339.855,63
17,217.246,340.159,64
17,217.621,340.084,65
17,217.785,340.131,66
17,217.837,340.024,67
17,218.273,339.699,68
17,218.289,339.22,69
17,218.29,339.224,70
17,218.269,339.452,71
17,218.333,338.998,72
17,218.053,339.019,73
17,218.246,338.674,74
17,218.439,338.614,75
17,218.169,338.828,76
17,217.674,338.88,77
17,217.19,339.066,78
17,217.197,338.81,79
17,216.808,339.214,80
17,217.5,339.11,81
17,217.359,338.734,82
17,218.482,338.836,83
17,219.055,338.449,84
17,218.671,338.271,85
17,218.131,338.869,86
17,218.362,338.728,87
17,218.272,338.746,88
17,219.236,339.02,89
17,219.859,338.653,90
17,220.716,338.793,91
17,221.433,338.95,92
17,221.372,339.846,93
17,220.731,339.531,94
17,220.682,339.508,95
17,221.025,339.27,96
17,221.188,339.72,97
17,221.394,340.305,98
17,221.793,340.386,99
17,221.977,340.887,100
17,222.582,341.21,101
17,222.279,340.995,102
17,222.28,340.983,103
17,222.461,341.029,104
17,222.64,341.071,105
17,223.364,341.294,106
17,223.319,341.358,107
17,223.348,341.096,108
17,223.416,341.112,109
17,223.624,341.15,110
17,223.423,341.292,111
17,223.651,341.193,112
17,223.272,340.769,113
17,223.701,341.234,114
17,222.846,341.936,115
17,223.355,342.962,116
17,226.346,340.68,117
17,225.826,340.605,118
17,226.18,341.951,119
17,224.835,343.102,120
17,226.784,342.803,121
17,227.429,343.061,122
17,227.557,342.643,123
17,228.453,343.712,124
17,228.515,343.49,125
17,228.994,343.986,126
17,229.024,344.66,127
17,229.831,345.634,128
17,231.224,346.936,129
17,231.799,348.056,130
19,623,1871,0
19,623,1871,1
19,615.279,1865.956,2
19,617.99,1862.705,3
19,617.687,1859.847,4
19,614.038,1861.268,5
19,612.179,1862.51,6
19,613.437,1860.569,7
19,613.059,1857.163,8
19,612.933,1856.404,9
19,612.812,1855.663,10
19,613.028,1856.253,11
19,613.272,1855.594,12
19,612.89,1854.344,13
19,613.542,1850.181,14
19,614.068,1848.769,15
19,617.538,1844.66,16
19,619.621,1840.842,17
19,621.432,1839.651,18
19,621.288,1840.503,19
19,624.083,1846.404,20
19,617.351,1847.843,21
19,612.036,1852.178,22
19,608.854,1857.49,23
19,607.248,1862.789,24
19,606.842,1868.104,25
19,611.314,1873.399,26
19,616.14,1875.679,27
19,619.984,1878.445,28
19,624.05,1880.63,29
19,628.596,1882.1,30
19,634.409,1883.75,31
19,639.273,1883.134,32
19,643.544,1880.697,33
19,647.897,1876.376,34
19,648.038,1864.519,36
19,645.198,1858.717,37
19,638.421,1850.348,40
19,643.433,1847.866,41
19,649.667,1845.634,42
19,656.63,1839.826,43
19,661.977,1838.259,44
19,668.085,1837.092,45
19,673.729,1834.861,46
19,679.398,1833.759,47
19,685.3,1832.216,48
19,690.464,1831.684,49
19,696.866,1830.426,50
19,699.624,1829.53,51
19,705.916,1829.586,52
19,717.409,1825.133,54
19,721.533,1823.06,55
19,726.535,1821.56,56
19,729.776,1821.003,57
19,732.495,1819.935,58
19,737.166,1815.666,59
19,743.024,1812.031,60
19,748.364,1809.668,61
19,753.737,1807.235,62
19,758.21,1802.443,63
19,762.465,1799.667,64
19,767.39,1795.616,65
19,773.302,1791.987,66
19,776.375,1788.575,67
19,781.52,1785.956,68
19,781.911,1783.709,69
19,781.362,1785.106,70
19,779.016,1790.053,71
19,773.865,1794.95,72
19,770.848,1800.574,73
19,767.001,1804.289,74
19,765.192,1809.609,75
19,762.345,1815.07,76
19,772.662,1807.556,77
19,771.915,1807.287,78
19,772.015,1807.519,79
19,769.729,1806.037,80
19,769.879,1805.607,81
19,769.672,1805.266,82
19,769.679,1802.659,83
19,769.738,1804.353,84
19,773.955,1799.921,86
19,772.378,1803.582,87
19,765.982,1808.594,88
19,764.862,1807.442,89
19,764.752,1807.933,90
19,763.632,1807.631,93
19,760.816,1806.739,94
19,759.766,1805.563,95
19,760.45,1806.762,96
19,760.464,1806.965,97
19,763.035,1810.702,98
19,763.433,1810.136,99
19,762.757,1808.502,100
19,762.751,1807.548,101
19,760.388,1806.312,102
19,760.307,1805.878,103
19,760.269,1806.848,104
19,760.683,1807.15,105
19,759.579,1807.327,106
19,759.541,1807.37,107
19,761.295,1807.857,108
19,761.63,1808.457,109
19,762.019,1809.358,110
23,584.481,340.966,0
23,584.481,340.966,1
23,584.943,342.145,2
23,585.098,341.681,3
23,585.124,341.803,4
23,584.628,341.636,5
23,584.511,341.668,6
23,584.889,342.017,7
23,584.872,341.307,8
23,584.263,340.939,9
23,584.431,341.076,10
23,584.993,340.865,11
23,585.266,341.564,12
23,584.986,341.279,13
23,584.04,341.489,14
23,584.079,341.439,15
23,584.496,341.858,16
23,583.963,341.627,17
23,583.914,341.814,18
23,584.032,341.875,19
23,584.339,341.532,20
23,584.193,341.659,21
23,584.469,341.639,22
23,584.673,341.527,23
23,584.048,341.093,24
23,584.389,338.867,25
23,583.261,339.972,26
23,583.422,338.74,27
23,583.453,339.597,28
23,582.716,339.091,29
23,583.005,338.569,30
23,583.871,337.861,31
23,583.842,337.112,32
23,583.784,337.246,33
23,583.725,337.563,34
23,583.964,338.007,35
23,583.8,337.694,36
23,588.039,337.123,37
23,588.438,336.779,38
23,589.538,336.815,39
23,589.217,336.56,40
23,588.199,336.742,41
23,588.534,335.944,42
23,589.466,337.376,43
23,589.754,336.58,44
23,589.847,333.707,45
23,589.208,335.312,46
23,588.006,336.877,47
23,589.769,338.474,48
